candidate_id,vertical,title,source_id,selection_status,relevance,counterfactual_separability,invariant_core,objective_verifier,long_horizon,total,primary_hold_reason,human_validated
CAND_DA001,data_analysis,支付欺诈与批准率的分群权衡分析,dabstep,provisional_selected,2,2,2,2,2,10,,False
CAND_DA002,data_analysis,订阅产品的 cohort 留存与价值诊断,dsbench,provisional_selected,2,2,2,2,2,10,,False
CAND_DA003,data_analysis,零售品类增长与毛利冲突诊断,dsbench,provisional_selected,2,2,2,2,2,10,,False
CAND_DA004,data_analysis,医院运营瓶颈与等待时间分析,real_workflow_adaptation,provisional_selected,2,2,2,2,2,10,,False
CAND_DA005,data_analysis,城市能耗与减排项目组合分析,real_workflow_adaptation,provisional_selected,2,2,2,2,2,10,,False
CAND_DA006,data_analysis,气候科研资助组合的证据与风险平衡,plhkw_authored,provisional_selected,2,2,2,2,2,10,,False
CAND_DA007,data_analysis,构建三表联动的财务预测模型,spreadsheetbench2,provisional_selected,2,2,2,2,2,10,,False
CAND_DA008,data_analysis,调试多工作表预算模型,spreadsheetbench2,provisional_selected,2,2,2,2,2,10,,False
CAND_DA009,data_analysis,为经营工作簿生成角色化 KPI 仪表板,spreadsheetbench2,provisional_selected,2,2,2,2,2,10,,False
CAND_DA010,data_analysis,完成滚动现金流与融资情景模板,spreadsheetbench2,provisional_selected,2,2,2,2,2,10,,False
CAND_DA011,data_analysis,资源约束下的客户流失预测,mle_bench,provisional_selected,2,2,2,2,2,10,,False
CAND_DA012,data_analysis,可解释信用风险模型与阈值策略,mle_bench,provisional_selected,2,2,2,2,2,10,,False
CAND_DA013,data_analysis,多层级需求预测与补货决策,real_workflow_adaptation,provisional_selected,2,2,2,2,2,10,,False
CAND_DA014,data_analysis,工业缺陷图像模型的精度—延迟选择,real_workflow_adaptation,provisional_selected,2,2,2,2,2,10,,False
CAND_DA015,data_analysis,产品功能分阶段上线实验设计,plhkw_authored,provisional_selected,2,2,2,2,2,10,,False
CAND_DA016,data_analysis,教育干预的准实验评估方案,plhkw_authored,provisional_selected,2,2,2,2,2,10,,False
CAND_DA017,data_analysis,跨 CRM、账单与客服系统的客户实体对齐,datascibench,provisional_selected,2,2,2,2,2,10,,False
CAND_DA018,data_analysis,多源环境监测数据的时空整合,real_workflow_adaptation,provisional_selected,2,2,2,2,2,10,,False
CAND_DA_RES_01,data_analysis,广告归因分解,spreadsheetbench2,reserve_not_rejected,2,2,2,1,2,9,dataset_license_or_objective_verifier_binding_pending,False
CAND_DA_RES_02,data_analysis,供应链缺货诊断,mle_bench,reserve_not_rejected,2,2,2,1,2,9,dataset_license_or_objective_verifier_binding_pending,False
CAND_DA_RES_03,data_analysis,招聘漏斗公平性,datascibench,reserve_not_rejected,2,2,2,1,2,9,dataset_license_or_objective_verifier_binding_pending,False
CAND_DA_RES_04,data_analysis,客户支持主题漂移,dsbench,reserve_not_rejected,2,2,2,1,2,9,dataset_license_or_objective_verifier_binding_pending,False
